epoch,accuracy,loss,val_accuracy,val_loss
0,0.35289233922958374,1.334674596786499,0.4524495601654053,1.274921178817749
1,0.642956018447876,1.006426453590393,0.6743515729904175,0.9266884326934814
2,0.8004428744316101,0.5772039294242859,0.7089337110519409,0.7653361558914185
3,0.8502629399299622,0.4061039388179779,0.7146974205970764,0.7664485573768616
4,0.8867976665496826,0.3165076971054077,0.7118155360221863,0.8037376999855042
5,0.9097702503204346,0.25565049052238464,0.7089337110519409,0.8498666286468506
6,0.9294215440750122,0.2134198397397995,0.6945244669914246,0.9196839928627014
7,0.9418765306472778,0.17517371475696564,0.7089337110519409,1.000126600265503
8,0.9490727782249451,0.1575818806886673,0.6858789920806885,1.0574458837509155
9,0.9576529264450073,0.13520467281341553,0.6887608170509338,1.0994611978530884
10,0.9640188217163086,0.11757450550794601,0.680115282535553,1.2132375240325928
11,0.9665098190307617,0.10795558989048004,0.6858789920806885,1.209092617034912
12,0.9681705236434937,0.10117322206497192,0.6829971075057983,1.2727149724960327
13,0.9695543646812439,0.09823404252529144,0.6858789920806885,1.2788769006729126
14,0.974259614944458,0.08687887340784073,0.6945244669914246,1.338333249092102
15,0.973429262638092,0.08700677007436752,0.6858789920806885,1.3251917362213135
16,0.973429262638092,0.08349630236625671,0.6772334575653076,1.3836408853530884
17,0.9753667116165161,0.07548380643129349,0.6743515729904175,1.4606575965881348
18,0.9761970639228821,0.07513198256492615,0.6887608170509338,1.4254263639450073
19,0.9781345129013062,0.06912031769752502,0.6743515729904175,1.5218520164489746
20,0.9759202599525452,0.07385575771331787,0.6714697480201721,1.5200575590133667
21,0.9784113168716431,0.06416945159435272,0.680115282535553,1.5019868612289429
22,0.9761970639228821,0.07091468572616577,0.6945244669914246,1.5036495923995972
23,0.9786880612373352,0.062155064195394516,0.6829971075057983,1.5518736839294434
24,0.9778577089309692,0.06201301887631416,0.6772334575653076,1.6071559190750122
